# ZEC/USD daily close, 2016-10-29 .. 2020-12-07 (the span before Coinbase's ZEC-USD
# candle floor of 2020-12-08). Format: YYYY-MM-DD,usd  one per line, '#' comments skipped.
#
# Frozen historical data: these closes don't change, so bundling them keeps the deep tail
# of the ALL span working with zero network calls and no provider redistribution concerns.
# Points from this file are marked low Confidence (single-source) per docs/adr/0008. Being
# frozen historical data, it never needs refreshing.
#
# Source: Bitfinex tZECUSD daily candles (close), keyless public API, which lists ZEC/USD
# back to ZEC's launch day. The launch-week values (2016-10-29..2016-11) are ZEC's real
# near-zero-supply launch spike, not errors. Spot-checked against Yahoo Finance ZEC-USD
# (which only reaches 2017-11); the two agree within ~1-2% outside the Dec-2017/Jan-2018
# volatility peak, where exchanges genuinely diverged.
2016-10-29,3591.30
2016-10-30,558.00
2016-10-31,1658.70
2016-11-01,1350.00
2016-11-02,943.10
2016-11-03,993.40
2016-11-04,620.00
2016-11-05,502.50
2016-11-06,333.00
2016-11-07,241.11
2016-11-08,281.00
2016-11-09,349.90
2016-11-10,221.60
2016-11-11,191.11
2016-11-12,147.00
2016-11-13,117.10
2016-11-14,106.50
2016-11-15,108.12
2016-11-16,95.46
2016-11-17,85.34
2016-11-18,68.71
2016-11-19,63.60
2016-11-20,60.45
2016-11-21,53.30
2016-11-22,56.50
2016-11-23,77.40
2016-11-24,95.00
2016-11-25,90.00
2016-11-26,77.86
2016-11-27,69.00
2016-11-28,72.13
2016-11-29,67.39
2016-11-30,67.00
2016-12-01,62.06
2016-12-02,59.06
2016-12-03,58.87
2016-12-04,57.34
2016-12-05,53.76
2016-12-06,47.78
2016-12-07,55.00
2016-12-08,52.84
2016-12-09,49.43
2016-12-10,48.29
2016-12-11,47.91
2016-12-12,48.44
2016-12-13,46.11
2016-12-14,43.48
2016-12-15,39.55
2016-12-16,39.92
2016-12-17,35.61
2016-12-18,36.35
2016-12-19,34.00
2016-12-20,35.61
2016-12-21,35.96
2016-12-22,46.88
2016-12-23,51.14
2016-12-24,47.02
2016-12-25,45.38
2016-12-26,42.57
2016-12-27,43.40
2016-12-28,47.93
2016-12-29,50.40
2016-12-30,50.03
2016-12-31,47.68
2017-01-01,48.06
2017-01-02,49.10
2017-01-03,49.16
2017-01-04,55.00
2017-01-05,47.85
2017-01-06,46.60
2017-01-07,46.55
2017-01-08,46.20
2017-01-09,46.01
2017-01-10,45.35
2017-01-11,40.33
2017-01-12,43.39
2017-01-13,43.95
2017-01-14,43.23
2017-01-15,44.62
2017-01-16,43.81
2017-01-17,44.11
2017-01-18,43.30
2017-01-19,44.09
2017-01-20,43.20
2017-01-21,43.42
2017-01-22,43.50
2017-01-23,43.10
2017-01-24,40.89
2017-01-25,39.53
2017-01-26,38.16
2017-01-27,38.19
2017-01-28,38.05
2017-01-29,38.23
2017-01-30,39.62
2017-01-31,39.30
2017-02-01,39.50
2017-02-02,39.00
2017-02-03,38.21
2017-02-04,38.64
2017-02-05,37.26
2017-02-06,36.73
2017-02-07,36.30
2017-02-08,35.00
2017-02-09,32.78
2017-02-10,32.44
2017-02-11,32.70
2017-02-12,31.50
2017-02-13,30.40
2017-02-14,32.88
2017-02-15,33.90
2017-02-16,32.75
2017-02-17,32.05
2017-02-18,30.76
2017-02-19,30.51
2017-02-20,31.33
2017-02-21,30.01
2017-02-22,27.11
2017-02-23,30.27
2017-02-24,30.02
2017-02-25,29.00
2017-02-26,29.54
2017-02-27,36.60
2017-02-28,37.25
2017-03-01,41.53
2017-03-02,39.98
2017-03-03,42.00
2017-03-04,41.80
2017-03-05,39.54
2017-03-06,40.14
2017-03-07,38.00
2017-03-08,35.36
2017-03-09,37.03
2017-03-10,34.90
2017-03-11,39.50
2017-03-12,40.02
2017-03-13,47.87
2017-03-14,44.80
2017-03-15,45.71
2017-03-16,48.30
2017-03-17,47.10
2017-03-18,64.00
2017-03-19,68.00
2017-03-20,70.68
2017-03-21,65.55
2017-03-22,68.00
2017-03-23,65.90
2017-03-24,64.97
2017-03-25,63.08
2017-03-26,59.17
2017-03-27,53.22
2017-03-28,64.94
2017-03-29,63.22
2017-03-30,61.91
2017-03-31,62.51
2017-04-01,61.67
2017-04-02,61.00
2017-04-03,59.60
2017-04-04,58.36
2017-04-05,59.50
2017-04-06,58.50
2017-04-07,60.45
2017-04-08,63.95
2017-04-09,64.00
2017-04-10,65.50
2017-04-11,63.06
2017-04-12,63.71
2017-04-13,65.75
2017-04-14,73.10
2017-04-15,74.11
2017-04-16,72.91
2017-04-17,72.10
2017-04-18,74.63
2017-04-19,73.98
2017-04-20,70.97
2017-04-21,73.30
2017-04-22,74.46
2017-04-23,73.60
2017-04-24,73.41
2017-04-25,74.90
2017-04-26,78.38
2017-04-27,84.00
2017-04-28,91.26
2017-04-29,103.87
2017-04-30,101.37
2017-05-01,97.00
2017-05-02,98.25
2017-05-03,98.26
2017-05-04,103.53
2017-05-05,103.60
2017-05-06,109.75
2017-05-07,105.32
2017-05-08,106.08
2017-05-09,95.04
2017-05-10,96.77
2017-05-11,95.38
2017-05-12,99.12
2017-05-13,98.61
2017-05-14,98.13
2017-05-15,94.61
2017-05-16,91.19
2017-05-17,94.97
2017-05-18,97.50
2017-05-19,105.14
